,title,title_count,title_split,new_title,type,match_score,title_level,leftover,token_set,token_set_score,type_1,token_set_title,token_sort,token_sort_score,type_2,token_sort_title,extractOne,extractOne_score,type_3,extractOne_title
555,"director, bi and data analytics",1,director business intelligence and data analytics,business intelligence,,,director,business intelligence data analytics,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 74, great)",74.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
556,director	 edw,1,director edw,ignore,,,director,edw,"(data steward, 27, great)",27.0,,,"(data steward, 27, great)",27.0,,,"(data steward, 60, great)",60.0,,
557,director	 data management,1,director data management,data management,,,director,,,,,,,,,,,,,
558,director	 data architecture,1,director data architecture,data architecture,,,director,,,,,,,,,,,,,
559,director vendor relations,1,director vendor relations,,,,director,vendor relations,"(regulatory reporting, 56, common)",56.0,,,"(regulatory reporting, 56, common)",56.0,,,"(information management, 45, great)",45.0,,
560,director reporting transformation,1,director reporting transformation,,,,director,reporting transformation,"(regulatory reporting, 64, common)",64.0,,,"(information architect, 62, great)",62.0,,,"(information architect, 59, great)",59.0,,
561,director reporting,1,director reporting,ignore,,,director,reporting,"(regulatory reporting, 100, common)",100.0,common,regulatory reporting,"(regulatory reporting, 62, common)",62.0,,,"(chief operating officer, 60, great)",60.0,,
562,director operations (ww data strategy & governance),1,director operations ww data strategy governance,,,,director,operations ww data strategy governance,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 67, great)",67.0,,,"(master data governance, 86, great)",86.0,,
563,director of marketing research,1,director of marketing research,,,,director,marketing research,"(data steward, 47, great)",47.0,,,"(data steward, 47, great)",47.0,,,"(information architect, 51, great)",51.0,,
564,director of it corporate technology,1,director of it corporate technology,,,,director,it corporate technology,"(information technology, 71, common)",71.0,,,"(information technology, 71, common)",71.0,,,"(chief operating officer, 41, great)",41.0,,
565,director of information governance,1,director of information governance,,,,director,information governance,"(data governance, 80, great)",80.0,,,"(information architect, 70, great)",70.0,,,"(data governance, 76, great)",76.0,,
566,director of information & technology services,1,director of information technology services,,,,director,information technology services,"(information technology, 100, common)",100.0,common,information technology,"(information technology, 83, common)",83.0,,,"(data services, 86, great)",86.0,,
567,director of enterprise data warehouse,1,director of enterprise data warehouse,data warehouse,,,director,enterprise data warehouse,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 72, great)",72.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
568,director of enterprise data governance,1,director of enterprise data governance,enterprise data governance,,,director,,,,,,,,,,,,,
569,director of data strategy,1,director of data strategy,,,,director,data strategy,"(master data, 67, great)",67.0,,,"(master data, 67, great)",67.0,,,"(master data governance, 86, great)",86.0,,
570,director of data management (in it),1,director of data management in it,data management,great,95.0,director,,"(data management, 100, great)",100.0,great,data management,"(data management, 83, great)",83.0,,,"(data management, 95, great)",95.0,great,data management
571,director of data management,1,director of data management,data management,,,director,,,,,,,,,,,,,
572,director of data analysis,1,director of data analysis,data analysis,,,director,,,,,,,,,,,,,
573,director of bit administration - procurement,1,director of bit administration procurement,,,,director,bit administration procurement,"(database administrator, 58, common)",58.0,,,"(database administrator, 58, common)",58.0,,,"(information management, 54, great)",54.0,,
574,director of administrative application development,1,director of administrative application development,application development,,,director administrative,,,,,,,,,,,,,
575,director him,1,director him,ignore,,,director,him,"(architect, 33, common)",33.0,,,"(architect, 33, common)",33.0,,,"(chief data officer, 60, great)",60.0,,
576,director fp&a,1,director fp,ignore,,,director,fp,"(developer, 18, common)",18.0,,,"(developer, 18, common)",18.0,,,"(chief data officer, 30, great)",30.0,,
577,director for strategic develop,1,director for strategic develop,,,,director,strategic develop,"(developer, 62, common)",62.0,,,"(developer, 62, common)",62.0,,,"(master data governance, 41, great)",41.0,,
578,director finance process change,1,director finance process change,,,,director,finance process change,"(chief compliance officer, 57, common)",57.0,,,"(chief compliance officer, 57, common)",57.0,,,"(chief operating officer, 47, great)",47.0,,
579,director enterprise master data architecture,1,director enterprise master data architecture,master data,,,director,enterprise master data architecture,"(master data, 100, great)",100.0,great,master data,"(data architecture, 65, great)",65.0,,,"(master data, 90, great)",90.0,great,master data
580,director enterprise information architect,1,director enterprise information architect,information architect,,,director,enterprise information architect,"(information architect, 100, great)",100.0,great,information architect,"(information architect, 79, great)",79.0,,,"(information architect, 90, great)",90.0,great,information architect
581,director enterprise data mgmt,1,director enterprise data management,data management,,,director,enterprise data management,"(data management, 100, great)",100.0,great,data management,"(data management, 73, great)",73.0,,,"(data management, 90, great)",90.0,great,data management
582,director eim,1,director enterprise information management,enterprise information management,,,director,,,,,,,,,,,,,
583,director data management and governance,1,director data management and governance,data management,,,director,data management governance,"(data management, 100, great)",100.0,great,data management,"(master data governance, 79, great)",79.0,,,"(data management, 90, great)",90.0,great,data management
584,director data governance office,1,director data governance office,data governance,,,director,,,,,,,,,,,,,
585,"director data governance and management, global bu",1,director data governance and management global bu,data governance,,,director global,data governance management bu,"(data management, 100, great)",100.0,great,data management,"(master data governance, 75, great)",75.0,,,"(data governance, 90, great)",90.0,great,data governance
586,director business intelligence,1,director business intelligence,business intelligence,,,director,,,,,,,,,,,,,
587,director architecture,1,director architecture,ignore,,,director,architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(architect, 86, common)",86.0,,,"(data architecture, 95, great)",95.0,great,data architecture
588,director and data governance change lead,1,director and data governance change lead,data governance,great,95.0,director lead,,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 81, great)",81.0,,,"(data governance, 95, great)",95.0,great,data governance
589,director ace,1,director ace,ignore,,,director,ace,"(architect, 50, common)",50.0,,,"(architect, 50, common)",50.0,,,"(master data governance, 60, great)",60.0,,
590,director - strategic platform,1,director strategic platform,,,,director,strategic platform,"(regulatory reporting, 47, common)",47.0,,,"(regulatory reporting, 47, common)",47.0,,,"(master data, 50, great)",50.0,,
591,director - software engineering,1,director software engineering,software engineer,common,92.0,director,,"(software engineer, 92, common)",92.0,common,software engineer,"(software engineer, 92, common)",92.0,common,software engineer,"(data management, 46, great)",46.0,,
592,"director - enterprise services, analytics coe and strategy",1,director enterprise services analytics coe and strategy,analytics,,,director,enterprise services analytics coe strategy,"(analytics, 100, great)",100.0,great,analytics,"(enterprise data governance, 56, common)",56.0,,,"(analytics, 90, great)",90.0,great,analytics
593,director - enterprise information architecture,1,director enterprise information architecture,information architect,,,director,enterprise information architecture,"(data architecture, 83, great)",83.0,,,"(information architect, 75, great)",75.0,,,"(information architect, 90, great)",90.0,great,information architect
594,director - eim solution engineering,1,director enterprise information management solution engineering,information management,,,director,enterprise information management solution engineering,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 76, common)",76.0,,,"(information management, 90, great)",90.0,great,information management
595,director - data management & business intelligence,1,director data management business intelligence,data management,,,director,data management business intelligence,"(data management, 100, great)",100.0,great,data management,"(business intelligence, 72, great)",72.0,,,"(data management, 90, great)",90.0,great,data management
596,director â€“ data governance & enterprise content management (ecm),1,director data governance enterprise content management ecm,data governance,,,director,data governance enterprise content management ecm,"(data management, 100, great)",100.0,great,data management,"(enterprise data governance, 69, common)",69.0,,,"(data governance, 90, great)",90.0,great,data governance
597,director - business management operations,1,director business management operations,,,,director,business management operations,"(data management, 80, great)",80.0,,,"(assessor quality management, 63, common)",63.0,,,"(data management, 86, great)",86.0,,
598,direction des risques groupe,1,direction des risques groupe,,,,,,,,,,,,,,,,,
599,direction des opã©rations et des systã¨mes d'information,1,direction des op rations et des syst mes information,,,,,,,,,,,,,,,,,
600,"direcror, enterprise management",1,direcror enterprise management,,,,,,,,,,,,,,,,,
601,dir. sci,1,director sci,ignore,,,director,sci,"(architect, 33, common)",33.0,,,"(architect, 33, common)",33.0,,,"(information architect, 60, great)",60.0,,
602,dir. enterprise information management ( eim),1,director enterprise information management enterprise information management,information management,,,director,enterprise information management enterprise information management,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 66, common)",66.0,,,"(information management, 90, great)",90.0,great,information management
603,dir. enterprise data warehouse,1,director enterprise data warehouse,data warehouse,,,director,enterprise data warehouse,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 72, great)",72.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
604,dir. data architecture & big data,1,director data architecture big data,data architecture,,,director,data architecture big data,"(data architecture, 100, great)",100.0,great,data architecture,"(data architecture, 79, great)",79.0,,,"(data architecture, 90, great)",90.0,great,data architecture
605,dir risk strategies,1,director risk strategies,,,,director,risk strategies,"(chief risk officer, 48, common)",48.0,,,"(enterprise solutions, 46, common)",46.0,,,"(data services, 43, great)",43.0,,
606,dir of it,1,director of it,ignore,,,director,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
607,dir of enterprise data services,1,director of enterprise data services,data services,great,90.0,director,,"(data services, 100, great)",100.0,great,data services,"(enterprise data governance, 80, common)",80.0,,,"(data services, 90, great)",90.0,great,data services
608,dir of consumer credit risk,1,director of consumer credit risk,,,,director,consumer credit risk,"(chief risk officer, 53, common)",53.0,,,"(chief risk officer, 53, common)",53.0,,,"(master data, 50, great)",50.0,,
609,dir of administrative systems for ent apps,1,director of administrative systems for ent apps,,,,director administrative,systems ent apps,"(systems analyst, 71, common)",71.0,,,"(systems analyst, 71, common)",71.0,,,"(master data, 44, great)",44.0,,
610,dir / sr. consultant - enterprise content governance -,1,director senior consultant enterprise content governance,,,,director senior consultant,enterprise content governance,"(enterprise data governance, 89, common)",89.0,,,"(enterprise data governance, 84, common)",84.0,,,"(data governance, 86, great)",86.0,,
611,diensthoofd bedrijfsarchitectuur,1,diensthoofd bedrijfsarchitectuur,,,,,,,,,,,,,,,,,
612,dg project manager - coe,1,data governance project manager coe,data governance,great,95.0,project manager,,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 88, great)",88.0,,,"(data governance, 95, great)",95.0,great,data governance
613,dg manager,1,data governance manager,data governance,,,manager,,,,,,,,,,,,,
614,dg consultant (contractor),1,data governance consultant contractor,data governance,,,consultant,data governance contractor,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 73, great)",73.0,,,"(data governance, 90, great)",90.0,great,data governance
615,deputy executive director,1,deputy executive director,ignore,,,executive director,deputy,"(developer, 40, common)",40.0,,,"(developer, 40, common)",40.0,,,"(master data governance, 30, great)",30.0,,
616,"deputy director, aad fas ops (alumni reporting)",1,deputy director aad fas ops alumni reporting,,,,director,deputy aad fas ops alumni reporting,"(regulatory reporting, 62, common)",62.0,,,"(regulatory reporting, 51, common)",51.0,,,"(data standards, 45, great)",45.0,,
617,deputy director of bws pmo,1,deputy director of bws project management office,,,,director project,deputy bws management,"(data management, 80, great)",80.0,,,"(data management, 72, great)",72.0,,,"(data management, 76, great)",76.0,,
618,deputy cio,1,deputy chief information officer,,,,,,,,,,,,,,,,,
619,denali sourcing services for bny mellon global procurement,1,denali sourcing services for bny mellon global procurement,,,,global,denali services bny mellon procurement,"(data services, 76, great)",76.0,,,"(data services, 47, great)",47.0,,,"(data services, 86, great)",86.0,,
620,"database specialist, analyst, programmer",1,database specialist analyst programmer,,,,specialist,database analyst programmer,"(database analyst, 100, common)",100.0,common,database analyst,"(database analyst, 74, common)",74.0,,,"(business analyst, 86, great)",86.0,,
621,data warehousing manager,1,data warehousing manager,,,,manager,data warehousing,"(data warehouse, 87, great)",87.0,,,"(data warehouse, 87, great)",87.0,,,"(data warehouse, 87, great)",87.0,,
622,data warehouse supervisor,1,data warehouse supervisor,,,,,,,,,,,,,,,,,
623,data warehouse architect / team leader,1,data warehouse architect team leader,data warehouse,,,leader,data warehouse architect team,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 65, great)",65.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
624,data warehouse architect (student data),1,data warehouse architect student data,,,,,,,,,,,,,,,,,
625,data warehouse architect - project manager,1,data warehouse architect project manager,data warehouse,,,project manager,data warehouse architect,"(data warehouse, 100, great)",100.0,great,data warehouse,"(data warehouse, 74, great)",74.0,,,"(data warehouse, 90, great)",90.0,great,data warehouse
626,data warehouse architect,1,data warehouse architect,,,,,,,,,,,,,,,,,
627,data warehouse archect,1,data warehouse archect,,,,,,,,,,,,,,,,,
628,data stewardship coordinator,1,data stewardship coordinator,,,,,,,,,,,,,,,,,
629,data steward manager,1,data steward manager,data steward,,,manager,,,,,,,,,,,,,
630,data steward coordinator,1,data steward coordinator,,,,,,,,,,,,,,,,,
631,data steward,1,data steward,data steward,great,100.0,,,,,,,,,,,,,,
632,"data scientist, project manager",1,data scientist project manager,,,,project manager,data scientist,"(data services, 67, great)",67.0,,,"(data services, 67, great)",67.0,,,"(master data governance, 86, great)",86.0,,
633,data quality service manager,1,data quality service manager,,,,manager,data quality service,"(data services, 73, great)",73.0,,,"(data services, 73, great)",73.0,,,"(data services, 86, great)",86.0,,
634,data modeling team,1,data modeling team,,,,,,,,,,,,,,,,,
635,data management product owner,1,data management product owner,,,,,,,,,,,,,,,,,
636,data management consultant,1,data management consultant,data management,,,consultant,,,,,,,,,,,,,
637,data management advisor,1,data management advisor,data management,,,advisor,,,,,,,,,,,,,
638,"data management & architecture  bny mellon, client technology solutions",1,data management architecture bny mellon client technology solutions,,,,,,,,,,,,,,,,,
639,data integrity and governance analyst iii,1,data integrity and governance analyst iii,,,,,,,,,,,,,,,,,
640,data integration analyst,1,data integration analyst,,,,,,,,,,,,,,,,,
641,data governance specialist,1,data governance specialist,data governance,,,specialist,,,,,,,,,,,,,
642,data governance service line,1,data governance service line,,,,,,,,,,,,,,,,,
643,data governance program manager,1,data governance program manager,data governance,,,program manager,,,,,,,,,,,,,
644,data governance professional,1,data governance professional,,,,,,,,,,,,,,,,,
645,data governance officer,1,data governance officer,,,,,,,,,,,,,,,,,
646,data governance mgr,1,data governance manager,data governance,,,manager,,,,,,,,,,,,,
647,data governance metlife investments,1,data governance metlife investments,,,,,,,,,,,,,,,,,
648,data governance director,1,data governance director,data governance,,,director,,,,,,,,,,,,,
649,data governance council,1,data governance council,,,,,,,,,,,,,,,,,
650,"data domain, group it architecture",1,data domain group it architecture,,,,,,,,,,,,,,,,,
651,data architecture consultant,1,data architecture consultant,data architecture,,,consultant,,,,,,,,,,,,,
652,cosultant,1,cosultant,,,,,,,,,,,,,,,,,
653,corporate procurement,1,corporate procurement,,,,,,,,,,,,,,,,,
654,corporate director master data,1,corporate director master data,master data,,,director,corporate master data,"(master data, 100, great)",100.0,great,master data,"(master data, 69, great)",69.0,,,"(master data, 90, great)",90.0,great,master data
655,corporate data officer,1,corporate data officer,,,,,,,,,,,,,,,,,
656,contracts manager,1,contracts manager,ignore,,,manager,contracts,"(soa architect, 45, common)",45.0,,,"(soa architect, 45, common)",45.0,,,"(analytics, 44, great)",44.0,,
657,contract manager - sourcing  | verizon services ireland ltd,1,contract manager sourcing verizon services ireland ltd,,,,manager,contract verizon services ireland ltd,"(data services, 76, great)",76.0,,,"(data services, 48, great)",48.0,,,"(data services, 86, great)",86.0,,
658,contract manager,1,contract manager,ignore,,,manager,contract,"(architect, 47, common)",47.0,,,"(architect, 47, common)",47.0,,,"(master data governance, 45, great)",45.0,,
659,"computing director, enterprise architecture team- data management",1,computing director enterprise architecture team data management,data management,,,director,computing enterprise architecture team data management,"(data management, 100, great)",100.0,great,data management,"(enterprise data governance, 50, common)",50.0,,,"(data management, 90, great)",90.0,great,data management
660,"computer system manager, database administrator",1,computer system manager database administrator,,,,manager,computer system database administrator,"(database administrator, 100, common)",100.0,common,database administrator,"(database administrator, 73, common)",73.0,,,"(master data, 66, great)",66.0,,
661,computer specialist,1,computer specialist,ignore,,,specialist,computer,"(developer, 47, common)",47.0,,,"(developer, 47, common)",47.0,,,"(chief operating officer, 45, great)",45.0,,
662,compliance policy manager,1,compliance policy manager,,,,manager,compliance policy,"(chief compliance officer, 74, common)",74.0,,,"(chief compliance officer, 68, common)",68.0,,,"(chief operating officer, 45, great)",45.0,,
663,communications & outreach,1,communications outreach,,,,,,,,,,,,,,,,,
664,commodities mgr,1,commodities manager,ignore,,,manager,commodities,"(data services, 42, great)",42.0,,,"(data services, 42, great)",42.0,,,"(data services, 42, great)",42.0,,
665,commercial contracts analyst,1,commercial contracts analyst,,,,,,,,,,,,,,,,,
666,collibra & data governance adminstrator,1,collibra data governance adminstrator,,,,,,,,,,,,,,,,,
667,cio director enterprise it data office,1,chief information officer director enterprise it data office,,,,director,chief information officer enterprise it data,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief information officer, 72, common)",72.0,,,"(master data governance, 86, great)",86.0,,
668,"chief, it accessibility, information collection & knowledge management (nppd)",1,chief it accessibility information collection knowledge management nppd,,,,,,,,,,,,,,,,,
669,"chief, data standards & stewardship",1,chief data standards stewardship,,,,,,,,,,,,,,,,,
670,chief services big data architect,1,chief services big data architect,,,,,,,,,,,,,,,,,
671,chief innovation officer,1,chief innovation officer,,,,,,,,,,,,,,,,,
672,chief information security officer,1,chief information security officer,,,,,,,,,,,,,,,,,
673,chief information officer,1,chief information officer,chief information officer,common,100.0,,,,,,,,,,,,,,
674,chief financial officer,1,chief financial officer,,,,,,,,,,,,,,,,,
675,chief data strategist,1,chief data strategist,chief data officer,,,strategist,chief data,"(chief data officer, 100, great)",100.0,great,chief data officer,"(data architect, 75, great)",75.0,,,"(chief data officer, 90, great)",90.0,great,chief data officer
676,chief data officer asset management,1,chief data officer asset management,,,,,,,,,,,,,,,,,
677,chief data officer - investments,1,chief data officer investments,,,,,,,,,,,,,,,,,
678,chief data officer - cib,1,chief data officer cib,,,,,,,,,,,,,,,,,
679,chief data architect (acting),1,chief data architect acting,,,,,,,,,,,,,,,,,
680,chief data analytics officer (cdao),1,chief data analytics officer cdao,,,,,,,,,,,,,,,,,
681,chief content officer,1,chief content officer,,,,,,,,,,,,,,,,,
682,chief architect oib belgium,1,chief architect oib belgium,,,,,,,,,,,,,,,,,
683,cfo,1,chief financial officer,,,,,,,,,,,,,,,,,
684,cdo(budget holder),1,chief data officer budget holder,,,,,,,,,,,,,,,,,
685,cdo group,1,chief data officer group,,,,,,,,,,,,,,,,,
686,cdi systems architect,1,cdi systems architect,,,,,,,,,,,,,,,,,
687,category manager â€“ procurement unit,1,category manager procurement unit,,,,manager,category procurement unit,"(assessor quality management, 54, common)",54.0,,,"(assessor quality management, 54, common)",54.0,,,"(master data, 41, great)",41.0,,
688,business/data analyst finance transformation,1,business data analyst finance transformation,,,,,,,,,,,,,,,,,
689,business user,1,business user,,,,,,,,,,,,,,,,,
690,business systems analyst lead,1,business systems analyst lead,,,,lead,business systems analyst,"(business analyst, 100, great)",100.0,great,business analyst,"(business analyst, 80, great)",80.0,,,"(business analyst, 86, great)",86.0,,
691,business systems analyst - senior,1,business systems analyst senior,,,,senior,business systems analyst,"(business analyst, 100, great)",100.0,great,business analyst,"(business analyst, 80, great)",80.0,,,"(business analyst, 86, great)",86.0,,
692,business systems analyst - financial reporting,1,business systems analyst financial reporting,,,,,,,,,,,,,,,,,
693,business solutions consultant,1,business solutions consultant,business solutions,,,consultant,,,,,,,,,,,,,
694,business solution and data integration,1,business solution and data integration,,,,,,,,,,,,,,,,,
695,business intelligence solution lead,1,business intelligence solution lead,business intelligence,great,95.0,lead,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 82, great)",82.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
696,"business intelligence analyst, analytics",1,business intelligence analyst analytics,,,,,,,,,,,,,,,,,
697,"business information architect, chase commercial bank",1,business information architect chase commercial bank,,,,,,,,,,,,,,,,,
698,business information architect,1,business information architect,,,,,,,,,,,,,,,,,
699,business implementation manager,1,business implementation manager,,,,manager,business implementation,"(business solutions, 68, common)",68.0,,,"(business solutions, 68, common)",68.0,,,"(business intelligence, 64, great)",64.0,,
700,business data strategy & solutions,1,business data strategy solutions,,,,,,,,,,,,,,,,,
701,"business architect, national information exchange model (niem)",1,business architect national information exchange model niem,,,,,,,,,,,,,,,,,
702,"business analyst, sr",1,business analyst senior,business analyst,,,senior,,,,,,,,,,,,,
703,business analyst specialist,1,business analyst specialist,business analyst,,,specialist,,,,,,,,,,,,,
704,business analist,1,business analist,,,,,,,,,,,,,,,,,
705,bpa collaboration lead,1,bpa collaboration lead,,,,lead,bpa collaboration,"(operations analyst, 51, common)",51.0,,,"(operations analyst, 51, common)",51.0,,,"(information architect, 45, great)",45.0,,
706,big data architect - enterprise,1,big data architect enterprise,,,,,,,,,,,,,,,,,
707,bi manager,1,business intelligence manager,business intelligence,,,manager,,,,,,,,,,,,,
708,bi and analytics executive,1,business intelligence and analytics executive,business intelligence,great,95.0,executive,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 81, great)",81.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
709,beleidsadviseur,1,beleidsadviseur,,,,,,,,,,,,,,,,,
710,"bank officer, data quality, enterprise data management & analytics, data governance analyst",1,bank officer data quality enterprise data management analytics data governance analyst,,,,,,,,,,,,,,,,,
711,ba,1,business analyst,business analyst,great,100.0,,,,,,,,,,,,,,
712,"avp, global it procurement",1,assistant vice president global it procurement,,,,assistant vice president global,it procurement,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,,"(data management, 48, great)",48.0,,
713,"avp, business intelligence, strategy & planning",1,assistant vice president business intelligence strategy planning,business intelligence,,,assistant vice president,business intelligence strategy planning,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 70, great)",70.0,,,"(business intelligence, 90, great)",90.0,great,business intelligence
714,avp data governance & business analysis,1,assistant vice president data governance business analysis,data governance,,,assistant vice president,data governance business analysis,"(data governance, 100, great)",100.0,great,data governance,"(data governance, 63, great)",63.0,,,"(data governance, 90, great)",90.0,great,data governance
715,avp - data governance,1,assistant vice president data governance,data governance,,,assistant vice president,,,,,,,,,,,,,
716,associate general counsel - attorney,1,associate general counsel attorney,,,,associate,general counsel attorney,"(business intelligence, 44, great)",44.0,,,"(business intelligence, 44, great)",44.0,,,"(master data governance, 43, great)",43.0,,
717,"associate director, enterprise master data management",1,associate director enterprise master data management,master data,,,associate director,enterprise master data management,"(master data, 100, great)",100.0,great,master data,"(enterprise data governance, 71, common)",71.0,,,"(master data, 90, great)",90.0,great,master data
718,associate - operations,1,associate operations,ignore,,,associate,operations,"(operations analyst, 100, common)",100.0,common,operations analyst,"(operations analyst, 71, common)",71.0,,,"(chief operating officer, 72, great)",72.0,,
719,associate  director - eim solution architecture / delivery,1,associate director enterprise information management solution architecture delivery,information management,,,associate director,enterprise information management solution architecture delivery,"(information management, 100, great)",100.0,great,information management,"(enterprise information management, 68, common)",68.0,,,"(information management, 90, great)",90.0,great,information management
720,"assoc. director, hr analytics and reporting",1,associate director hr analytics and reporting,analytics,,,associate director,hr analytics reporting,"(analytics, 100, great)",100.0,great,analytics,"(regulatory reporting, 62, common)",62.0,,,"(analytics, 90, great)",90.0,great,analytics
721,"assoc. director, fss management group  (financial systems)",1,associate director fss management group financial systems,,,,associate director,fss management financial systems,"(financial systems, 100, common)",100.0,common,financial systems,"(financial systems, 69, common)",69.0,,,"(data management, 86, great)",86.0,,
722,"assoc director, enterprise solutions delivery",1,associate director enterprise solutions delivery,,,,associate director,enterprise solutions delivery,"(enterprise solutions, 100, common)",100.0,common,enterprise solutions,"(enterprise solutions, 82, common)",82.0,,,"(chief operating officer, 42, great)",42.0,,
723,assoc dir - it planning,1,associate director it planning,,,,associate director,it planning,"(data engineering, 52, common)",52.0,,,"(data engineering, 52, common)",52.0,,,"(chief operating officer, 50, great)",50.0,,
724,assistant vp of it contract manager procurment,1,assistant vice president of it contract manager procurment,,,,assistant vice president manager,it contract procurment,"(information architect, 47, great)",47.0,,,"(information architect, 47, great)",47.0,,,"(information architect, 47, great)",47.0,,
725,"assistant vice president, key programs - metlife i",1,assistant vice president key programs metlife,,,,assistant vice president,key programs metlife,"(chief executive officer, 42, common)",42.0,,,"(chief executive officer, 42, common)",42.0,,,"(chief operating officer, 42, great)",42.0,,
726,assistant vice president manager of quantitative compliance,1,assistant vice president manager of quantitative compliance,,,,assistant vice president manager,quantitative compliance,"(chief compliance officer, 61, common)",61.0,,,"(chief compliance officer, 55, common)",55.0,,,"(analytics, 50, great)",50.0,,
727,arquiteto de ti,1,arquiteto de ti,,,,,,,,,,,,,,,,,
728,architecture manager,1,architecture manager,ignore,,,manager,architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(architect, 86, common)",86.0,,,"(data architecture, 95, great)",95.0,great,data architecture
729,application manager,1,application manager,ignore,,,manager,application,"(application development, 100, common)",100.0,common,application development,"(application development, 65, common)",65.0,,,"(information management, 50, great)",50.0,,
730,application development manager,1,application development manager,application development,,,manager,,,,,,,,,,,,,
731,alliance mgr,1,alliance manager,ignore,,,manager,alliance,"(analytics, 47, great)",47.0,,,"(analytics, 47, great)",47.0,,,"(business intelligence, 68, great)",68.0,,
732,administrative director,1,administrative director,,,,administrative director,,,,,,,,,,,,,
733,"administrative assistant to: kristi cunningham, pat branum and ashley sigrest.",1,administrative assistant to kristi cunningham pat branum and ashley sigrest,,,,administrative assistant,to kristi cunningham pat branum ashley sigrest,"(information architect, 36, great)",36.0,,,"(information architect, 36, great)",36.0,,,"(data services, 46, great)",46.0,,
734,"actuarial manager, predictive analytics (dg lead)",1,actuarial manager predictive analytics data governance lead,data governance,,,manager lead,actuarial predictive analytics data governance,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 53, great)",53.0,,,"(data governance, 90, great)",90.0,great,data governance
