,title,title_count,title_split,temp,type,title_level,new_title,leftover,fuzz_results,fuzz_score,fuzz_title,fuzz_type
553,"director, clinical innovation - co-chair of dg cousel",1,director clinical innovation co chair of data governance cousel,"(clinical innovation co chair data governance cousel, [level], [clinical innovation co chair data governance cousel])",level,director of,,clinical innovation co chair data governance cousel,"(information governance, 52, great)",52.0,information governance,great
554,"director, business intelligence",1,director business intelligence,"(business intelligence, [great], [None])",great,director,business intelligence,,,,,
555,"director, bi and data analytics",1,director business intelligence and data analytics,"(business intelligence data analytics, [level], [business intelligence data analytics])",level,director,,business intelligence data analytics,"(business intelligence, 74, great)",74.0,business intelligence,great
556,director	 edw,1,director edw,"(edw, [level], [edw])",level,director,,edw,"(data steward, 27, great)",27.0,data steward,great
557,director	 data management,1,director data management,"(data management, [great], [None])",great,director,data management,,,,,
558,director	 data architecture,1,director data architecture,"(data architecture, [great], [None])",great,director,data architecture,,,,,
559,director vendor relations,1,director vendor relations,"(vendor relations, [level], [vendor relations])",level,director,,vendor relations,"(regulatory reporting, 56, common)",56.0,regulatory reporting,common
560,director reporting transformation,1,director reporting transformation,"(reporting transformation, [level], [reporting transformation])",level,director,,reporting transformation,"(risk reporting, 63, great)",63.0,risk reporting,great
561,director reporting,1,director reporting,"(reporting, [level], [reporting])",level,director,,reporting,"(risk reporting, 78, great)",78.0,risk reporting,great
562,director operations (ww data strategy & governance),1,director operations ww data strategy governance,"(operations ww data strategy governance, [level], [operations ww data strategy governance])",level,director,,operations ww data strategy governance,"(master data governance, 67, great)",67.0,master data governance,great
563,director of marketing research,1,director of marketing research,"(marketing research, [level], [marketing research])",level,director of,,marketing research,"(risk reporting, 56, great)",56.0,risk reporting,great
564,director of it corporate technology,1,director of it corporate technology,"(it corporate technology, [level], [it corporate technology])",level,director of,,it corporate technology,"(information technology, 71, common)",71.0,information technology,common
565,director of information governance,1,director of information governance,"(information governance, [great], [None])",great,director of,information governance,,,,,
566,director of information & technology services,1,director of information technology services,"(information technology services, [level], [information technology services])",level,director of,,information technology services,"(information technology, 83, common)",83.0,information technology,common
567,director of enterprise data warehouse,1,director of enterprise data warehouse,"(enterprise data warehouse, [level], [enterprise data warehouse])",level,director of,,enterprise data warehouse,"(data warehouse, 72, great)",72.0,data warehouse,great
568,director of enterprise data governance,1,director of enterprise data governance,"(enterprise data governance, [level], [enterprise data governance])",level,director of,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
569,director of data strategy,1,director of data strategy,"(data strategy, [level], [data strategy])",level,director of,,data strategy,"(sales data, 70, great)",70.0,sales data,great
570,director of data management (in it),1,director of data management in it,"(data management it, [level], [data management it])",great,director of,data management,,,91.0,data management,great
571,director of data management,1,director of data management,"(data management, [great], [None])",great,director of,data management,,,,,
572,director of data analysis,1,director of data analysis,"(data analysis, [level], [data analysis])",level,director of,data analysis,,,,,
573,director of bit administration - procurement,1,director of bit administration procurement,"(bit administration procurement, [level], [bit administration procurement])",level,director of,,bit administration procurement,"(database administrator, 58, common)",58.0,database administrator,common
574,director of administrative application development,1,director of administrative application development,"(application development, [level], [application development])",level,director of administrative,application development,,,,,
575,director him,1,director him,"(him, [level], [him])",level,director,,him,"(architect, 33, great)",33.0,architect,great
576,director fp&a,1,director fp,"(fp, [level], [fp])",level,director,,fp,"(ifrs9, 29, great)",29.0,ifrs9,great
577,director for strategic develop,1,director for strategic develop,"(strategic develop, [level], [strategic develop])",level,director,,strategic develop,"(developer, 62, common)",62.0,developer,common
578,director finance process change,1,director finance process change,"(finance process change, [level], [finance process change])",level,director,,finance process change,"(finance change management, 68, great)",68.0,finance change management,great
579,director enterprise master data architecture,1,director enterprise master data architecture,"(enterprise master data architecture, [level], [enterprise master data architecture])",level,director,,enterprise master data architecture,"(enterprise architect, 73, great)",73.0,enterprise architect,great
580,director enterprise information architect,1,director enterprise information architect,"(enterprise information architect, [level], [enterprise information architect])",level,director,,enterprise information architect,"(information architect, 79, great)",79.0,information architect,great
581,director enterprise data mgmt,1,director enterprise data management,"(enterprise data management, [level], [enterprise data management])",level,director,,enterprise data management,"(data management, 73, great)",73.0,data management,great
582,director eim,1,director enterprise information management,"(enterprise information management, [level], [enterprise information management])",level,director,enterprise information management,,,,,
583,director data management and governance,1,director data management and governance,"(data management governance, [level], [data management governance])",level,director,,data management governance,"(master data governance, 79, great)",79.0,master data governance,great
584,director data governance office,1,director data governance office,"(data governance office, [level], [data governance office])",level,director,,data governance office,"(data governance, 81, great)",81.0,data governance,great
585,"director data governance and management, global bu",1,director data governance and management global bu,"(data governance management bu, [level], [data governance management bu])",level,director global,,data governance management bu,"(master data governance, 75, great)",75.0,master data governance,great
586,director business intelligence,1,director business intelligence,"(business intelligence, [great], [None])",great,director,business intelligence,,,,,
587,director architecture,1,director architecture,"(data architecture, [great], [None])",great,director,data architecture,,,,,
588,director and data governance change lead,1,director and data governance change lead,"(data governance change, [level], [data governance change])",level,director lead,,data governance change,"(data governance, 81, great)",81.0,data governance,great
589,director ace,1,director ace,"(ace, [level], [ace])",level,director,,ace,"(architect, 50, great)",50.0,architect,great
590,director - strategic platform,1,director strategic platform,"(strategic platform, [level], [strategic platform])",level,director,,strategic platform,"(informatics, 55, great)",55.0,informatics,great
591,director - software engineering,1,director software engineering,"(software engineering, [level], [software engineering])",common,director,software engineer,,,92.0,software engineer,common
592,"director - enterprise services, analytics coe and strategy",1,director enterprise services analytics coe and strategy,"(enterprise services analytics coe strategy, [level], [enterprise services analytics coe strategy])",level,director,,enterprise services analytics coe strategy,"(business analysis, 47, common)",47.0,business analysis,common
593,director - enterprise information architecture,1,director enterprise information architecture,"(enterprise information architecture, [level], [enterprise information architecture])",level,director,,enterprise information architecture,"(information architect, 75, great)",75.0,information architect,great
594,director - eim solution engineering,1,director enterprise information management solution engineering,"(enterprise information management solution engineering, [level], [enterprise information management solution engineering])",level,director,,enterprise information management solution engineering,"(enterprise information management, 76, common)",76.0,enterprise information management,common
595,director - data management & business intelligence,1,director data management business intelligence,"(data management business intelligence, [level], [data management business intelligence])",level,director,,data management business intelligence,"(business intelligence, 72, great)",72.0,business intelligence,great
596,director â€“ data governance & enterprise content management (ecm),1,director data governance enterprise content management ecm,"(data governance enterprise content management ecm, [level], [data governance enterprise content management ecm])",level,director,,data governance enterprise content management ecm,"(enterprise information management, 63, common)",63.0,enterprise information management,common
597,director - business management operations,1,director business management operations,"(business management operations, [level], [business management operations])",level,director,,business management operations,"(risk change management, 65, great)",65.0,risk change management,great
598,direction des risques groupe,1,direction des risques groupe,"(direction des risques groupe, [to_fix], [direction des risques groupe])",to_fix,,,direction des risques groupe,"(descision support, 49, great)",49.0,descision support,great
599,direction des opã©rations et des systã¨mes d'information,1,direction des op rations et des syst mes information,"(direction des op rations et des syst mes information, [to_fix], [direction des op rations et des syst mes information])",to_fix,,,direction des op rations et des syst mes information,"(enterprise information management, 52, common)",52.0,enterprise information management,common
600,"direcror, enterprise management",1,direcror enterprise management,"(direcror enterprise management, [to_fix], [direcror enterprise management])",to_fix,,,direcror enterprise management,"(enterprise information management, 67, common)",67.0,enterprise information management,common
601,dir. sci,1,director sci,"(sci, [level], [sci])",level,director,,sci,"(data science, 40, great)",40.0,data science,great
602,dir. enterprise information management ( eim),1,director enterprise information management enterprise information management,"(enterprise information management enterprise information management, [level], [enterprise information management enterprise information management])",level,director,,enterprise information management enterprise information management,"(enterprise information management, 66, common)",66.0,enterprise information management,common
603,dir. enterprise data warehouse,1,director enterprise data warehouse,"(enterprise data warehouse, [level], [enterprise data warehouse])",level,director,,enterprise data warehouse,"(data warehouse, 72, great)",72.0,data warehouse,great
604,dir. data architecture & big data,1,director data architecture big data,"(data architecture big data, [level], [data architecture big data])",level,director,,data architecture big data,"(data architecture, 79, great)",79.0,data architecture,great
605,dir risk strategies,1,director risk strategies,"(risk strategies, [level], [risk strategies])",level,director,,risk strategies,"(informatics, 46, great)",46.0,informatics,great
606,dir of it,1,director of it,"(it, [level], [it])",level,director of,,it,"(big data, 40, great)",40.0,big data,great
607,dir of enterprise data services,1,director of enterprise data services,"(enterprise data services, [level], [enterprise data services])",level,director of,,enterprise data services,"(data services, 70, great)",70.0,data services,great
608,dir of consumer credit risk,1,director of consumer credit risk,"(consumer credit risk, [level], [consumer credit risk])",level,director of,,consumer credit risk,"(group risk manager, 53, great)",53.0,group risk manager,great
609,dir of administrative systems for ent apps,1,director of administrative systems for ent apps,"(systems ent apps, [level], [systems ent apps])",level,director of administrative,,systems ent apps,"(systems analyst, 71, common)",71.0,systems analyst,common
610,dir / sr. consultant - enterprise content governance -,1,director senior consultant enterprise content governance,"(enterprise content governance, [level], [enterprise content governance])",level,director senior consultant,,enterprise content governance,"(enterprise architect, 61, great)",61.0,enterprise architect,great
611,diensthoofd bedrijfsarchitectuur,1,diensthoofd bedrijfsarchitectuur,"(diensthoofd bedrijfsarchitectuur, [to_fix], [diensthoofd bedrijfsarchitectuur])",to_fix,,,diensthoofd bedrijfsarchitectuur,"(data architecture, 57, great)",57.0,data architecture,great
612,dg project manager - coe,1,data governance project manager coe,"(data governance coe, [level], [data governance coe])",level,project manager,,data governance coe,"(data governance, 88, great)",88.0,data governance,great
613,dg manager,1,data governance manager,"(master data governance, [great], [None])",great,manager,master data governance,,,,,
614,dg consultant (contractor),1,data governance consultant contractor,"(data governance contractor, [level], [data governance contractor])",level,consultant,,data governance contractor,"(data governance, 73, great)",73.0,data governance,great
615,deputy executive director,1,deputy executive director,"(deputy, [level], [deputy])",level,executive director,,deputy,"(data quality, 44, great)",44.0,data quality,great
616,"deputy director, aad fas ops (alumni reporting)",1,deputy director aad fas ops alumni reporting,"(deputy aad fas ops alumni reporting, [level], [deputy aad fas ops alumni reporting])",level,director,,deputy aad fas ops alumni reporting,"(regulatory reporting, 51, common)",51.0,regulatory reporting,common
617,deputy director of bws pmo,1,deputy director of bws project management office,"(deputy bws management office, [level], [deputy bws management office])",level,director of project,,deputy bws management office,"(identity & access management, 63, great)",63.0,identity & access management,great
618,deputy cio,1,deputy chief information officer,"(deputy chief information officer, [to_fix], [deputy chief information officer])",to_fix,,,deputy chief information officer,"(chief information officer, 88, great)",88.0,chief information officer,great
619,denali sourcing services for bny mellon global procurement,1,denali sourcing services for bny mellon global procurement,"(denali sourcing services bny mellon procurement, [level], [denali sourcing services bny mellon procurement])",level,global,,denali sourcing services bny mellon procurement,"(market data vendor management, 42, great)",42.0,market data vendor management,great
620,"database specialist, analyst, programmer",1,database specialist analyst programmer,"(database analyst programmer, [level], [database analyst programmer])",level,specialist,,database analyst programmer,"(database analyst, 74, common)",74.0,database analyst,common
621,data warehousing manager,1,data warehousing manager,"(data warehousing, [level], [data warehousing])",level,manager,,data warehousing,"(data warehouse, 87, great)",87.0,data warehouse,great
622,data warehouse supervisor,1,data warehouse supervisor,"(data warehouse supervisor, [to_fix], [data warehouse supervisor])",to_fix,,,data warehouse supervisor,"(data warehouse, 72, great)",72.0,data warehouse,great
623,data warehouse architect / team leader,1,data warehouse architect team leader,"(data warehouse architect team, [level], [data warehouse architect team])",level,leader,,data warehouse architect team,"(data warehouse, 65, great)",65.0,data warehouse,great
624,data warehouse architect (student data),1,data warehouse architect student data,"(data warehouse architect student data, [to_fix], [data warehouse architect student data])",to_fix,,,data warehouse architect student data,"(enterprise architect, 56, great)",56.0,enterprise architect,great
625,data warehouse architect - project manager,1,data warehouse architect project manager,"(data warehouse architect, [level], [data warehouse architect])",level,project manager,,data warehouse architect,"(data warehouse, 74, great)",74.0,data warehouse,great
626,data warehouse architect,1,data warehouse architect,"(data warehouse architect, [to_fix], [data warehouse architect])",to_fix,,,data warehouse architect,"(data warehouse, 74, great)",74.0,data warehouse,great
627,data warehouse archect,1,data warehouse archect,"(data warehouse archect, [to_fix], [data warehouse archect])",to_fix,,,data warehouse archect,"(data warehouse, 78, great)",78.0,data warehouse,great
628,data stewardship coordinator,1,data stewardship coordinator,"(data stewardship coordinator, [to_fix], [data stewardship coordinator])",to_fix,,,data stewardship coordinator,"(data stewardship, 73, great)",73.0,data stewardship,great
629,data steward manager,1,data steward manager,"(risk data manager, [great], [None])",great,manager,risk data manager,,,,,
630,data steward coordinator,1,data steward coordinator,"(data steward coordinator, [to_fix], [data steward coordinator])",to_fix,,,data steward coordinator,"(data steward, 67, great)",67.0,data steward,great
631,data steward,1,data steward,"(data steward, [great], [None])",great,,data steward,,,,,
632,"data scientist, project manager",1,data scientist project manager,"(risk data manager, [great], [None])",great,project manager,risk data manager,,,,,
633,data quality service manager,1,data quality service manager,"(data quality service, [level], [data quality service])",level,manager,,data quality service,"(data quality, 75, great)",75.0,data quality,great
634,data modeling team,1,data modeling team,"(data modeling team, [to_fix], [data modeling team])",to_fix,,,data modeling team,"(data management, 61, great)",61.0,data management,great
635,data management product owner,1,data management product owner,"(data management product owner, [to_fix], [data management product owner])",to_fix,,,data management product owner,"(data management, 68, great)",68.0,data management,great
636,data management consultant,1,data management consultant,"(customer data management, [great], [None])",great,consultant,customer data management,,,,,
637,data management advisor,1,data management advisor,"(customer data management, [great], [None])",great,advisor,customer data management,,,,,
638,"data management & architecture  bny mellon, client technology solutions",1,data management architecture bny mellon client technology solutions,"(data management architecture bny mellon client technology solutions, [to_fix], [data management architecture bny mellon client technology solutions])",to_fix,,,data management architecture bny mellon client technology solutions,"(market data vendor management, 48, great)",48.0,market data vendor management,great
639,data integrity and governance analyst iii,1,data integrity and governance analyst iii,"(data integrity and governance analyst iii, [to_fix], [data integrity and governance analyst iii])",to_fix,,,data integrity and governance analyst iii,"(master data governance, 60, great)",60.0,master data governance,great
640,data integration analyst,1,data integration analyst,"(data integration analyst, [to_fix], [data integration analyst])",to_fix,,,data integration analyst,"(operations analyst, 71, common)",71.0,operations analyst,common
641,data governance specialist,1,data governance specialist,"(master data governance, [great], [None])",great,specialist,master data governance,,,,,
642,data governance service line,1,data governance service line,"(data governance service line, [to_fix], [data governance service line])",to_fix,,,data governance service line,"(master data governance, 76, great)",76.0,master data governance,great
643,data governance program manager,1,data governance program manager,"(data governance program, [level], [data governance program])",level,manager,,data governance program,"(data governance, 79, great)",79.0,data governance,great
644,data governance professional,1,data governance professional,"(data governance professional, [to_fix], [data governance professional])",to_fix,,,data governance professional,"(data governance, 70, great)",70.0,data governance,great
645,data governance officer,1,data governance officer,"(data governance officer, [to_fix], [data governance officer])",to_fix,,,data governance officer,"(master data governance, 80, great)",80.0,master data governance,great
646,data governance mgr,1,data governance manager,"(master data governance, [great], [None])",great,manager,master data governance,,,,,
647,data governance metlife investments,1,data governance metlife investments,"(data governance metlife investments, [to_fix], [data governance metlife investments])",to_fix,,,data governance metlife investments,"(master data governance, 70, great)",70.0,master data governance,great
648,data governance director,1,data governance director,"(data governance, [great], [None])",great,director,data governance,,,,,
649,data governance council,1,data governance council,"(data governance council, [to_fix], [data governance council])",to_fix,,,data governance council,"(data governance, 79, great)",79.0,data governance,great
650,"data domain, group it architecture",1,data domain group it architecture,"(data domain group it architecture, [to_fix], [data domain group it architecture])",to_fix,,,data domain group it architecture,"(data architecture, 68, great)",68.0,data architecture,great
651,data architecture consultant,1,data architecture consultant,"(data architecture, [great], [None])",great,consultant,data architecture,,,,,
652,cosultant,1,cosultant,"(cosultant, [to_fix], [cosultant])",to_fix,,,cosultant,"(accounting manager, 44, great)",44.0,accounting manager,great
653,corporate procurement,1,corporate procurement,"(corporate procurement, [to_fix], [corporate procurement])",to_fix,,,corporate procurement,"(customer data management, 49, great)",49.0,customer data management,great
654,corporate director master data,1,corporate director master data,"(corporate master data, [level], [corporate master data])",level,director,,corporate master data,"(master data manager, 60, common)",60.0,master data manager,common
655,corporate data officer,1,corporate data officer,"(corporate data officer, [to_fix], [corporate data officer])",to_fix,,,corporate data officer,"(chief data officer, 75, great)",75.0,chief data officer,great
656,contracts manager,1,contracts manager,"(contracts, [level], [contracts])",level,manager,,contracts,"(controller, 53, great)",53.0,controller,great
657,contract manager - sourcing  | verizon services ireland ltd,1,contract manager sourcing verizon services ireland ltd,"(contract sourcing verizon services ireland ltd, [level], [contract sourcing verizon services ireland ltd])",level,manager,,contract sourcing verizon services ireland ltd,"(enterprise solutions, 42, common)",42.0,enterprise solutions,common
658,contract manager,1,contract manager,"(contract, [level], [contract])",level,manager,,contract,"(controller, 56, great)",56.0,controller,great
659,"computing director, enterprise architecture team- data management",1,computing director enterprise architecture team data management,"(computing enterprise architecture team data management, [level], [computing enterprise architecture team data management])",level,director,,computing enterprise architecture team data management,"(identity & access management, 55, great)",55.0,identity & access management,great
660,"computer system manager, database administrator",1,computer system manager database administrator,"(computer system database administrator, [level], [computer system database administrator])",level,manager,,computer system database administrator,"(database administrator, 73, common)",73.0,database administrator,common
661,computer specialist,1,computer specialist,"(computer, [level], [computer])",level,specialist,,computer,"(controller, 56, great)",56.0,controller,great
662,compliance policy manager,1,compliance policy manager,"(compliance policy, [level], [compliance policy])",level,manager,,compliance policy,"(chief compliance officer, 68, common)",68.0,chief compliance officer,common
663,communications & outreach,1,communications outreach,"(communications outreach, [to_fix], [communications outreach])",to_fix,,,communications outreach,"(information technology, 53, common)",53.0,information technology,common
664,commodities mgr,1,commodities manager,"(commodities, [level], [commodities])",level,manager,,commodities,"(informatics, 45, great)",45.0,informatics,great
665,commercial contracts analyst,1,commercial contracts analyst,"(commercial contracts analyst, [to_fix], [commercial contracts analyst])",to_fix,,,commercial contracts analyst,"(operations analyst, 65, common)",65.0,operations analyst,common
666,collibra & data governance adminstrator,1,collibra data governance adminstrator,"(collibra data governance adminstrator, [to_fix], [collibra data governance adminstrator])",to_fix,,,collibra data governance adminstrator,"(database administrator, 64, common)",64.0,database administrator,common
667,cio director enterprise it data office,1,chief information officer director enterprise it data office,"(chief information officer enterprise it data office, [level], [chief information officer enterprise it data office])",level,director,,chief information officer enterprise it data office,"(chief information officer, 66, great)",66.0,chief information officer,great
668,"chief, it accessibility, information collection & knowledge management (nppd)",1,chief it accessibility information collection knowledge management nppd,"(chief it accessibility information collection knowledge management nppd, [to_fix], [chief it accessibility information collection knowledge management nppd])",to_fix,,,chief it accessibility information collection knowledge management nppd,"(enterprise information management, 52, common)",52.0,enterprise information management,common
669,"chief, data standards & stewardship",1,chief data standards stewardship,"(chief data standards stewardship, [to_fix], [chief data standards stewardship])",to_fix,,,chief data standards stewardship,"(data stewardship, 67, great)",67.0,data stewardship,great
670,chief services big data architect,1,chief services big data architect,"(chief services big data architect, [to_fix], [chief services big data architect])",to_fix,,,chief services big data architect,"(enterprise architect, 60, great)",60.0,enterprise architect,great
671,chief innovation officer,1,chief innovation officer,"(chief innovation officer, [to_fix], [chief innovation officer])",great,,chief information officer,,,90.0,chief information officer,great
672,chief information security officer,1,chief information security officer,"(chief information security officer, [to_fix], [chief information security officer])",to_fix,,,chief information security officer,"(chief information officer, 85, great)",85.0,chief information officer,great
673,chief information officer,1,chief information officer,"(chief information officer, [great], [None])",great,,chief information officer,,,,,
674,chief financial officer,1,chief financial officer,"(chief financial officer, [great], [None])",great,,chief financial officer,,,,,
675,chief data strategist,1,chief data strategist,"(chief data strategist, [to_fix], [chief data strategist])",to_fix,,,chief data strategist,"(chief data officer, 62, great)",62.0,chief data officer,great
676,chief data officer asset management,1,chief data officer asset management,"(chief data officer asset management, [to_fix], [chief data officer asset management])",to_fix,,,chief data officer asset management,"(chief data officer, 68, great)",68.0,chief data officer,great
677,chief data officer - investments,1,chief data officer investments,"(chief data officer investments, [to_fix], [chief data officer investments])",to_fix,,,chief data officer investments,"(chief investment officer, 89, common)",89.0,chief investment officer,common
678,chief data officer - cib,1,chief data officer cib,"(chief data officer cib, [to_fix], [chief data officer cib])",great,,chief data officer,,,90.0,chief data officer,great
679,chief data architect (acting),1,chief data architect acting,"(chief data architect acting, [to_fix], [chief data architect acting])",to_fix,,,chief data architect acting,"(data architect, 68, great)",68.0,data architect,great
680,chief data analytics officer (cdao),1,chief data analytics officer cdao,"(chief data analytics officer cdao, [to_fix], [chief data analytics officer cdao])",to_fix,,,chief data analytics officer cdao,"(chief data officer, 71, great)",71.0,chief data officer,great
681,chief content officer,1,chief content officer,"(chief content officer, [to_fix], [chief content officer])",to_fix,,,chief content officer,"(chief investment officer, 84, common)",84.0,chief investment officer,common
682,chief architect oib belgium,1,chief architect oib belgium,"(chief architect oib belgium, [to_fix], [chief architect oib belgium])",to_fix,,,chief architect oib belgium,"(solutions architect, 61, common)",61.0,solutions architect,common
683,cfo,1,chief financial officer,"(chief financial officer, [great], [None])",great,,chief financial officer,,,,,
684,cdo(budget holder),1,chief data officer budget holder,"(chief data officer budget holder, [to_fix], [chief data officer budget holder])",to_fix,,,chief data officer budget holder,"(chief data officer, 72, great)",72.0,chief data officer,great
685,cdo group,1,chief data officer group,"(chief data officer group, [to_fix], [chief data officer group])",to_fix,,,chief data officer group,"(chief data officer, 86, great)",86.0,chief data officer,great
686,cdi systems architect,1,cdi systems architect,"(cdi systems architect, [to_fix], [cdi systems architect])",to_fix,,,cdi systems architect,"(data architect, 69, great)",69.0,data architect,great
687,category manager â€“ procurement unit,1,category manager procurement unit,"(category procurement unit, [level], [category procurement unit])",level,manager,,category procurement unit,"(quality improvement, 55, great)",55.0,quality improvement,great
688,business/data analyst finance transformation,1,business data analyst finance transformation,"(business data analyst finance transformation, [to_fix], [business data analyst finance transformation])",to_fix,,,business data analyst finance transformation,"(business analyst, 53, common)",53.0,business analyst,common
689,business user,1,business user,"(business user, [to_fix], [business user])",to_fix,,,business user,"(business systems, 76, common)",76.0,business systems,common
690,business systems analyst lead,1,business systems analyst lead,"(business systems analyst, [level], [business systems analyst])",level,lead,,business systems analyst,"(business analyst, 80, common)",80.0,business analyst,common
691,business systems analyst - senior,1,business systems analyst senior,"(business systems analyst, [level], [business systems analyst])",level,senior,,business systems analyst,"(business analyst, 80, common)",80.0,business analyst,common
692,business systems analyst - financial reporting,1,business systems analyst financial reporting,"(business systems analyst financial reporting, [to_fix], [business systems analyst financial reporting])",to_fix,,,business systems analyst financial reporting,"(financial systems, 56, common)",56.0,financial systems,common
693,business solutions consultant,1,business solutions consultant,"(business solutions, [level], [business solutions])",level,consultant,business solutions,,,,,
694,business solution and data integration,1,business solution and data integration,"(business solution and data integration, [to_fix], [business solution and data integration])",to_fix,,,business solution and data integration,"(business solutions, 61, common)",61.0,business solutions,common
695,business intelligence solution lead,1,business intelligence solution lead,"(business intelligence solution, [level], [business intelligence solution])",level,lead,,business intelligence solution,"(business intelligence, 82, great)",82.0,business intelligence,great
696,"business intelligence analyst, analytics",1,business intelligence analyst analytics,"(business intelligence analyst analytics, [to_fix], [business intelligence analyst analytics])",to_fix,,,business intelligence analyst analytics,"(business intelligence, 70, great)",70.0,business intelligence,great
697,"business information architect, chase commercial bank",1,business information architect chase commercial bank,"(business information architect chase commercial bank, [to_fix], [business information architect chase commercial bank])",to_fix,,,business information architect chase commercial bank,"(information architect, 58, great)",58.0,information architect,great
698,business information architect,1,business information architect,"(business information architect, [to_fix], [business information architect])",to_fix,,,business information architect,"(information architect, 82, great)",82.0,information architect,great
699,business implementation manager,1,business implementation manager,"(business implementation, [level], [business implementation])",level,manager,,business implementation,"(business solutions, 68, common)",68.0,business solutions,common
700,business data strategy & solutions,1,business data strategy solutions,"(business data strategy solutions, [to_fix], [business data strategy solutions])",to_fix,,,business data strategy solutions,"(business solutions, 72, common)",72.0,business solutions,common
701,"business architect, national information exchange model (niem)",1,business architect national information exchange model niem,"(business architect national information exchange model niem, [to_fix], [business architect national information exchange model niem])",to_fix,,,business architect national information exchange model niem,"(information architect, 53, great)",53.0,information architect,great
702,"business analyst, sr",1,business analyst senior,"(business analyst, [level], [business analyst])",level,senior,business analyst,,,,,
703,business analyst specialist,1,business analyst specialist,"(business analyst, [level], [business analyst])",level,specialist,business analyst,,,,,
704,business analist,1,business analist,"(business analist, [to_fix], [business analist])",common,,business analyst,,,94.0,business analyst,common
705,bpa collaboration lead,1,bpa collaboration lead,"(bpa collaboration, [level], [bpa collaboration])",level,lead,,bpa collaboration,"(operations analyst, 51, common)",51.0,operations analyst,common
706,big data architect - enterprise,1,big data architect enterprise,"(big data architect enterprise, [to_fix], [big data architect enterprise])",to_fix,,,big data architect enterprise,"(enterprise architect, 82, great)",82.0,enterprise architect,great
707,bi manager,1,business intelligence manager,"(business intelligence, [great], [None])",great,manager,business intelligence,,,,,
708,bi and analytics executive,1,business intelligence and analytics executive,"(business intelligence analytics, [level], [business intelligence analytics])",level,executive,,business intelligence analytics,"(business intelligence, 81, great)",81.0,business intelligence,great
709,beleidsadviseur,1,beleidsadviseur,"(beleidsadviseur, [to_fix], [beleidsadviseur])",to_fix,,,beleidsadviseur,"(descision support, 44, great)",44.0,descision support,great
710,"bank officer, data quality, enterprise data management & analytics, data governance analyst",1,bank officer data quality enterprise data management analytics data governance analyst,"(bank officer data quality enterprise data management analytics data governance analyst, [to_fix], [bank officer data quality enterprise data management analytics data governance analyst])",to_fix,,,bank officer data quality enterprise data management analytics data governance analyst,"(assessor quality management, 46, common)",46.0,assessor quality management,common
711,ba,1,business analyst,"(business analyst, [common], [None])",common,,business analyst,,,,,
712,"avp, global it procurement",1,assistant vice president global it procurement,"(it procurement, [level], [it procurement])",level,assistant vice president global,,it procurement,"(quality improvement, 55, great)",55.0,quality improvement,great
713,"avp, business intelligence, strategy & planning",1,assistant vice president business intelligence strategy planning,"(business intelligence strategy planning, [level], [business intelligence strategy planning])",level,assistant vice president,,business intelligence strategy planning,"(business intelligence process, 74, great)",74.0,business intelligence process,great
714,avp data governance & business analysis,1,assistant vice president data governance business analysis,"(data governance business analysis, [level], [data governance business analysis])",level,assistant vice president,,data governance business analysis,"(business analysis, 68, common)",68.0,business analysis,common
715,avp - data governance,1,assistant vice president data governance,"(master data governance, [great], [None])",great,assistant vice president,master data governance,,,,,
716,associate general counsel - attorney,1,associate general counsel attorney,"(general counsel attorney, [level], [general counsel attorney])",level,associate,,general counsel attorney,"(customer intelligence, 49, great)",49.0,customer intelligence,great
717,"associate director, enterprise master data management",1,associate director enterprise master data management,"(enterprise master data management, [level], [enterprise master data management])",level,associate director,,enterprise master data management,"(master data manager, 69, common)",69.0,master data manager,common
718,associate - operations,1,associate operations,"(operations, [level], [operations])",level,associate,,operations,"(operations analyst, 71, common)",71.0,operations analyst,common
719,associate  director - eim solution architecture / delivery,1,associate director enterprise information management solution architecture delivery,"(enterprise information management solution architecture delivery, [level], [enterprise information management solution architecture delivery])",level,associate director,,enterprise information management solution architecture delivery,"(enterprise information management, 68, common)",68.0,enterprise information management,common
720,"assoc. director, hr analytics and reporting",1,associate director hr analytics and reporting,"(hr analytics reporting, [level], [hr analytics reporting])",level,associate director,,hr analytics reporting,"(regulatory reporting, 62, common)",62.0,regulatory reporting,common
721,"assoc. director, fss management group  (financial systems)",1,associate director fss management group financial systems,"(fss management group financial systems, [level], [fss management group financial systems])",level,associate director,,fss management group financial systems,"(financial systems, 62, common)",62.0,financial systems,common
722,"assoc director, enterprise solutions delivery",1,associate director enterprise solutions delivery,"(enterprise solutions delivery, [level], [enterprise solutions delivery])",level,associate director,,enterprise solutions delivery,"(enterprise solutions, 82, common)",82.0,enterprise solutions,common
723,assoc dir - it planning,1,associate director it planning,"(it planning, [level], [it planning])",level,associate director,,it planning,"(data engineering, 52, common)",52.0,data engineering,common
724,assistant vp of it contract manager procurment,1,assistant vice president of it contract manager procurment,"(it contract procurment, [level], [it contract procurment])",level,assistant vice president of manager,,it contract procurment,"(information architect, 47, great)",47.0,information architect,great
725,"assistant vice president, key programs - metlife i",1,assistant vice president key programs metlife,"(key programs metlife, [level], [key programs metlife])",level,assistant vice president,,key programs metlife,"(ccar program manager, 55, great)",55.0,ccar program manager,great
